CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30513,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30513,SSPB 800,GRADUATE RESEARCH,"Uribe, Rosa", ,9
30514,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30514,SSPB 800,GRADUATE RESEARCH,"Veiseh, Omid", ,9
30526,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30526,SSPB 800,GRADUATE RESEARCH,"Vlassakis, Julea", ,9
30527,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30527,SSPB 800,GRADUATE RESEARCH,"Warmflash, Aryeh", ,9
30711,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30711,SSPB 800,GRADUATE RESEARCH,"Wolynes, Peter", ,9
30713,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30713,SSPB 800,GRADUATE RESEARCH,"Xiao, Han", ,9
30712,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30712,SSPB 800,GRADUATE RESEARCH,"Xie, Chong", ,9
30714,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30714,SSPB 800,GRADUATE RESEARCH,"Yao, Vicky", ,9
31655,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31655,STAT 007,VISITING RESEARCH,"Li, Meng", ,0
31397,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31397,STAT 310,PROBABILITY & STATISTICS,"McGuffey, Elizabeth",1:00PM - 2:15PM MTWRF  ,3
31549,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31549,STAT 310,PROBABILITY & STATISTICS,"Ye, Shengbin",9:00AM - 10:15AM MTWRF  ,3
30708,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30708,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Chi, Eric C.", ,1 TO 3
30709,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30709,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Ensor, Katherine", ,1 TO 3
30710,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30710,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Kowal, Daniel", ,1 TO 3
30725,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30725,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Li, Meng", ,1 TO 3
30726,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30726,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"McGuffey, Elizabeth", ,1 TO 3
30751,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30751,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Shaw, Chad A.", ,1 TO 3
31389,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31389,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Jackson, Mike", ,1 TO 3
31391,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31391,STAT 490,UNDERGRADUATE RESEARCH IN STAT,"Kimmel, Marek", ,1 TO 3
31505,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31505,STAT 540,PRACTICUM IN STAT & DATA SCI,"Jackson, Mike", ,1 TO 2
30755,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30755,STAT 590,GRAD RESEARCH IN STATISTICS,"Guerra, Rudy", ,1 TO 15
30756,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30756,STAT 590,GRAD RESEARCH IN STATISTICS,"Ensor, Katherine", ,1 TO 15
30757,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30757,STAT 590,GRAD RESEARCH IN STATISTICS,"Peterson, Christine", ,1 TO 15
30758,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30758,STAT 590,GRAD RESEARCH IN STATISTICS,"Morris, Jeffrey S.", ,1 TO 15
30759,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30759,STAT 590,GRAD RESEARCH IN STATISTICS,"Allen, Genevera I.", ,1 TO 15
30760,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30760,STAT 590,GRAD RESEARCH IN STATISTICS,"Jackson, Mike", ,1 TO 15
30761,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30761,STAT 590,GRAD RESEARCH IN STATISTICS,"Li, Meng", ,1 TO 15
30762,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30762,STAT 590,GRAD RESEARCH IN STATISTICS,"Vannucci, Marina", ,1 TO 15
30763,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30763,STAT 590,GRAD RESEARCH IN STATISTICS,"Kowal, Daniel", ,1 TO 15
30764,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30764,STAT 590,GRAD RESEARCH IN STATISTICS,"Kimmel, Marek", ,1 TO 15
31392,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31392,STAT 590,GRAD RESEARCH IN STATISTICS,"Hopkins, Loren", ,1 TO 15
31393,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31393,STAT 590,GRAD RESEARCH IN STATISTICS,"Yuan, Ying", ,1 TO 15
31390,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31390,STAT 590,GRAD RESEARCH IN STATISTICS,"Chi, Eric C.", ,1 TO 15
31394,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31394,STAT 590,GRAD RESEARCH IN STATISTICS,"Viens, Frederi", ,1 TO 15
31395,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31395,STAT 590,GRAD RESEARCH IN STATISTICS,"Wang, Wenyi", ,1 TO 15
31396,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31396,STAT 590,GRAD RESEARCH IN STATISTICS,"Luo, Hengrui", ,1 TO 15
31504,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31504,STAT 590,GRAD RESEARCH IN STATISTICS,"Wu, Chong", ,1 TO 15
30564,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30564,STAT 800,THESIS,"Li, Meng", ,1 TO 15
30565,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30565,STAT 800,THESIS,"Ensor, Katherine", ,1 TO 15
30134,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30134,STAT 800,THESIS,"Vannucci, Marina", ,1 TO 15
30135,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30135,STAT 800,THESIS,"Kowal, Daniel", ,1 TO 15
30362,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30362,STAT 800,THESIS,"Kimmel, Marek", ,1 TO 15
30366,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30366,STAT 800,THESIS,"Allen, Genevera I.", ,1 TO 15
30386,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30386,STAT 800,THESIS,"Peterson, Christine", ,1 TO 15
30437,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30437,STAT 800,THESIS,"Merenyi, Erzsebet", ,1 TO 15
30476,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30476,STAT 800,THESIS,"Viens, Frederi", ,1 TO 15
30477,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30477,STAT 800,THESIS,"Morris, Jeffrey S.", ,1 TO 15
30794,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30794,STAT 800,THESIS,"Sun, Ryan", ,1 TO 15
30822,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30822,STAT 800,THESIS,"Guerra, Rudy", ,1 TO 15
31381,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31381,STAT 800,THESIS,"Luo, Hengrui", ,1 TO 15
31382,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31382,STAT 800,THESIS,"Chi, Eric C.", ,1 TO 15
31383,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31383,STAT 800,THESIS,"Segarra, Santiago", ,1 TO 15
31602,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31602,SWGS 205,LANGUAGE AND SOCIETY,"McCleary, Bryce",8:30AM - 10:10AM MTWR  ,3
31516,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31516,SWGS 301,ARTHURIAN LITERATURE,"Houlik-Ritchey, Emily",8:00AM - 9:25AM MTWR  ,3
31634,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31634,UNIV 052,INTER-INSTITUTIONAL AT UTHSC,,,0 TO 12
31669,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31669,UNIV 105,SCHOLARLY APPROACHES TO S&E,"Marti-Arbona, Angel", ,2
31257,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31257,UNIV 106,RISE,"Byrd, Alexander; Turi, Luziris",9:00AM - 12:00PM MTWRF  ,0
31569,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31569,UNIV 295,CAREERS THRU INTERNSHIP,"Semble, Leora", ,1
